participantId,trialId,trialOrder,responseId,status,percentComplete,description,responsePrompt,answer,correctAnswer,isCorrectlyAnswered,responseMin,responseMax,startTime,endTime,duration,cleaned_times,dataset
574dc90512d86b000f833ab0,Covid-Text-Q2,8,voq3,completed,100.0,Content: Text Only,How effective was the description of the data at conveying information?,5,undefined,undefined,undefined,undefined,2024-08-21T23:05:22.156Z,2024-08-21T23:06:02.321Z,40165,14990,Covid Symptoms
574dc90512d86b000f833ab0,Covid-Text-Q3,9,voq1,completed,100.0,Content: Text Only,What are your insights and take-aways from the description of this data?,The set sizes have a lot of variation but the intersection properties seem very similar.,undefined,undefined,undefined,undefined,2024-08-21T23:06:02.330Z,2024-08-21T23:08:51.284Z,168954,168954,Covid Symptoms
5755c957eb80c4000741a9ce,Organizations-Text-Q1,7,voq1,completed,100.0,Content: Text Only,How many sets are shown in the description?,18,8,True,0,100,2024-08-27T20:31:50.131Z,2024-08-27T20:33:44.468Z,114337,114337,International Organizations
5755c957eb80c4000741a9ce,Organizations-Text-Q1,7,voq2,completed,100.0,Content: Text Only,What is the largest set?,UPU,UPU,True,undefined,undefined,2024-08-27T20:31:50.131Z,2024-08-27T20:33:44.468Z,114337,114337,International Organizations
5755c957eb80c4000741a9ce,Organizations-Text-Q1,7,voq3,completed,100.0,Content: Text Only,What is the largest intersection?,"UNESCO,Interpol,WHO,UN,UPU","Interpol,UN,UNESCO,UPU,WHO",True,undefined,undefined,2024-08-27T20:31:50.131Z,2024-08-27T20:33:44.468Z,114337,114337,International Organizations
5755c957eb80c4000741a9ce,Organizations-Text-Q1,7,voq4,completed,100.0,Content: Text Only,How large is the largest intersection?,117,117,True,0,1000000000,2024-08-27T20:31:50.131Z,2024-08-27T20:33:44.468Z,114337,114337,International Organizations
5755c957eb80c4000741a9ce,Organizations-Text-Q1,7,voq5,completed,100.0,Content: Text Only,How many sets make up the largest intersection?,It is the intersection of many sets,It is the intersection of many sets,True,undefined,undefined,2024-08-27T20:31:50.131Z,2024-08-27T20:33:44.468Z,114337,114337,International Organizations
5755c957eb80c4000741a9ce,Organizations-Text-Q1,7,voq6,completed,100.0,Content: Text Only,How similar are the set sizes?,Diverging a lot,Diverging a lot,True,undefined,undefined,2024-08-27T20:31:50.131Z,2024-08-27T20:33:44.468Z,114337,114337,International Organizations
5755c957eb80c4000741a9ce,Organizations-Text-Q1,7,voq7,completed,100.0,Content: Text Only,Is the largest set present in the largest intersection?,Yes,Yes,True,undefined,undefined,2024-08-27T20:31:50.131Z,2024-08-27T20:33:44.468Z,114337,114337,International Organizations
5755c957eb80c4000741a9ce,Organizations-Text-Q1,7,voq8,completed,100.0,Content: Text Only,Is the all-set intersection (intersection having all the sets) present? ,No,No,True,undefined,undefined,2024-08-27T20:31:50.131Z,2024-08-27T20:33:44.468Z,114337,114337,International Organizations
5755c957eb80c4000741a9ce,Organizations-Text-Q2,8,voq1,completed,100.0,Content: Text Only,How confident are you in your answers?,4,undefined,undefined,undefined,undefined,2024-08-27T20:33:44.492Z,2024-08-27T20:34:00.393Z,15901,15901,International Organizations
5755c957eb80c4000741a9ce,Organizations-Text-Q2,8,voq2,completed,100.0,Content: Text Only,How well did you understand the information presented?,4,undefined,undefined,undefined,undefined,2024-08-27T20:33:44.492Z,2024-08-27T20:34:00.393Z,15901,15901,International Organizations
5755c957eb80c4000741a9ce,Organizations-Text-Q2,8,voq3,completed,100.0,Content: Text Only,How effective was the description of the data at conveying information?,3,undefined,undefined,undefined,undefined,2024-08-27T20:33:44.492Z,2024-08-27T20:34:00.393Z,15901,15901,International Organizations
5755c957eb80c4000741a9ce,Organizations-Text-Q3,9,voq1,completed,100.0,Content: Text Only,What are your insights and take-aways from the description of this data?,"That there seems to be a major overlap with the biggest organisations, and the rest are fairly insignificant. ",undefined,undefined,undefined,undefined,2024-08-27T20:34:00.417Z,2024-08-27T20:34:56.961Z,56544,56544,International Organizations
5955a3eb98c9c400019f5c5f,Tennis-Text-Q1,13,voq1,completed,100.0,Content: Text Only,How many sets are shown in the description?,4,4,True,0,100,2024-08-21T22:00:00.561Z,2024-08-21T22:01:16.249Z,75688,75688,Tennis Grand Slam Winners
5955a3eb98c9c400019f5c5f,Tennis-Text-Q1,13,voq2,completed,100.0,Content: Text Only,What is the largest set?,Australian,Australian,True,undefined,undefined,2024-08-21T22:00:00.561Z,2024-08-21T22:01:16.249Z,75688,75688,Tennis Grand Slam Winners
5955a3eb98c9c400019f5c5f,Tennis-Text-Q1,13,voq3,completed,100.0,Content: Text Only,What is the largest intersection?,French Open,French Open,True,undefined,undefined,2024-08-21T22:00:00.561Z,2024-08-21T22:01:16.249Z,75688,75688,Tennis Grand Slam Winners
5955a3eb98c9c400019f5c5f,Tennis-Text-Q1,13,voq4,completed,100.0,Content: Text Only,How large is the largest intersection?,23,23,True,0,1000000000,2024-08-21T22:00:00.561Z,2024-08-21T22:01:16.249Z,75688,75688,Tennis Grand Slam Winners
5955a3eb98c9c400019f5c5f,Tennis-Text-Q1,13,voq5,completed,100.0,Content: Text Only,How many sets make up the largest intersection?,It is only of a single set,It is only of a single set,True,undefined,undefined,2024-08-21T22:00:00.561Z,2024-08-21T22:01:16.249Z,75688,75688,Tennis Grand Slam Winners
5955a3eb98c9c400019f5c5f,Tennis-Text-Q1,13,voq6,completed,100.0,Content: Text Only,How similar are the set sizes?,Roughly equal,Roughly equal,True,undefined,undefined,2024-08-21T22:00:00.561Z,2024-08-21T22:01:16.249Z,75688,75688,Tennis Grand Slam Winners
5955a3eb98c9c400019f5c5f,Tennis-Text-Q1,13,voq7,completed,100.0,Content: Text Only,Is the largest set present in the largest intersection?,Yes,No,False,undefined,undefined,2024-08-21T22:00:00.561Z,2024-08-21T22:01:16.249Z,75688,75688,Tennis Grand Slam Winners
5955a3eb98c9c400019f5c5f,Tennis-Text-Q1,13,voq8,completed,100.0,Content: Text Only,Is the all-set intersection (intersection having all the sets) present? ,Yes,Yes,True,undefined,undefined,2024-08-21T22:00:00.561Z,2024-08-21T22:01:16.249Z,75688,75688,Tennis Grand Slam Winners
5955a3eb98c9c400019f5c5f,Tennis-Text-Q2,14,voq1,completed,100.0,Content: Text Only,How confident are you in your answers?,5,undefined,undefined,undefined,undefined,2024-08-21T22:01:16.375Z,2024-08-21T22:01:25.515Z,9140,9140,Tennis Grand Slam Winners
5955a3eb98c9c400019f5c5f,Tennis-Text-Q2,14,voq2,completed,100.0,Content: Text Only,How well did you understand the information presented?,4,undefined,undefined,undefined,undefined,2024-08-21T22:01:16.375Z,2024-08-21T22:01:25.515Z,9140,9140,Tennis Grand Slam Winners
5955a3eb98c9c400019f5c5f,Tennis-Text-Q2,14,voq3,completed,100.0,Content: Text Only,How effective was the description of the data at conveying information?,4,undefined,undefined,undefined,undefined,2024-08-21T22:01:16.375Z,2024-08-21T22:01:25.515Z,9140,9140,Tennis Grand Slam Winners
5955a3eb98c9c400019f5c5f,Tennis-Text-Q3,15,voq1,completed,100.0,Content: Text Only,What are your insights and take-aways from the description of this data?,This was the easiest data to comprehend. ,undefined,undefined,undefined,undefined,2024-08-21T22:01:25.578Z,2024-08-21T22:02:02.699Z,37121,37121,Tennis Grand Slam Winners
597fe89a1b41a20001749f57,Tennis-Text-Q1,13,voq1,completed,100.0,Content: Text Only,How many sets are shown in the description?,4,4,True,0,100,2024-08-21T21:50:57.224Z,2024-08-21T21:52:36.691Z,99467,99467,Tennis Grand Slam Winners
597fe89a1b41a20001749f57,Tennis-Text-Q1,13,voq2,completed,100.0,Content: Text Only,What is the largest set?,Australian,Australian,True,undefined,undefined,2024-08-21T21:50:57.224Z,2024-08-21T21:52:36.691Z,99467,99467,Tennis Grand Slam Winners
597fe89a1b41a20001749f57,Tennis-Text-Q1,13,voq3,completed,100.0,Content: Text Only,What is the largest intersection?,French Open,French Open,True,undefined,undefined,2024-08-21T21:50:57.224Z,2024-08-21T21:52:36.691Z,99467,99467,Tennis Grand Slam Winners
597fe89a1b41a20001749f57,Tennis-Text-Q1,13,voq4,completed,100.0,Content: Text Only,How large is the largest intersection?,23,23,True,0,1000000000,2024-08-21T21:50:57.224Z,2024-08-21T21:52:36.691Z,99467,99467,Tennis Grand Slam Winners
597fe89a1b41a20001749f57,Tennis-Text-Q1,13,voq5,completed,100.0,Content: Text Only,How many sets make up the largest intersection?,It is only of a single set,It is only of a single set,True,undefined,undefined,2024-08-21T21:50:57.224Z,2024-08-21T21:52:36.691Z,99467,99467,Tennis Grand Slam Winners
597fe89a1b41a20001749f57,Tennis-Text-Q1,13,voq6,completed,100.0,Content: Text Only,How similar are the set sizes?,Roughly equal,Roughly equal,True,undefined,undefined,2024-08-21T21:50:57.224Z,2024-08-21T21:52:36.691Z,99467,99467,Tennis Grand Slam Winners
597fe89a1b41a20001749f57,Tennis-Text-Q1,13,voq7,completed,100.0,Content: Text Only,Is the largest set present in the largest intersection?,No,No,True,undefined,undefined,2024-08-21T21:50:57.224Z,2024-08-21T21:52:36.691Z,99467,99467,Tennis Grand Slam Winners
597fe89a1b41a20001749f57,Tennis-Text-Q1,13,voq8,completed,100.0,Content: Text Only,Is the all-set intersection (intersection having all the sets) present? ,Yes,Yes,True,undefined,undefined,2024-08-21T21:50:57.224Z,2024-08-21T21:52:36.691Z,99467,99467,Tennis Grand Slam Winners
597fe89a1b41a20001749f57,Tennis-Text-Q2,14,voq1,completed,100.0,Content: Text Only,How confident are you in your answers?,5,undefined,undefined,undefined,undefined,2024-08-21T21:52:36.750Z,2024-08-21T21:52:44.883Z,8133,8133,Tennis Grand Slam Winners
597fe89a1b41a20001749f57,Tennis-Text-Q2,14,voq2,completed,100.0,Content: Text Only,How well did you understand the information presented?,5,undefined,undefined,undefined,undefined,2024-08-21T21:52:36.750Z,2024-08-21T21:52:44.883Z,8133,8133,Tennis Grand Slam Winners
597fe89a1b41a20001749f57,Tennis-Text-Q2,14,voq3,completed,100.0,Content: Text Only,How effective was the description of the data at conveying information?,5,undefined,undefined,undefined,undefined,2024-08-21T21:52:36.750Z,2024-08-21T21:52:44.883Z,8133,8133,Tennis Grand Slam Winners
597fe89a1b41a20001749f57,Tennis-Text-Q3,15,voq1,completed,100.0,Content: Text Only,What are your insights and take-aways from the description of this data?,"I like the description but I prefer having the visualizations too. As for the data itself, this shows it's hard to win all 4 grand slams.",undefined,undefined,undefined,undefined,2024-08-21T21:52:44.903Z,2024-08-21T21:54:04.516Z,79613,79613,Tennis Grand Slam Winners
5997043dbbe84800017964a7,Covid-Text-Q1,7,voq1,completed,100.0,Content: Text Only,How many sets are shown in the description?,6,6,True,0,100,2024-08-27T20:02:08.019Z,2024-08-27T20:05:16.381Z,188362,188362,Covid Symptoms
5997043dbbe84800017964a7,Covid-Text-Q1,7,voq2,completed,100.0,Content: Text Only,What is the largest set?,Fatigue,Fatigue,True,undefined,undefined,2024-08-27T20:02:08.019Z,2024-08-27T20:05:16.381Z,188362,188362,Covid Symptoms
5997043dbbe84800017964a7,Covid-Text-Q1,7,voq3,completed,100.0,Content: Text Only,What is the largest intersection?,"Anosmia,Fatigue,Cough","Anosmia,Fatigue",False,undefined,undefined,2024-08-27T20:02:08.019Z,2024-08-27T20:05:16.381Z,188362,188362,Covid Symptoms
5997043dbbe84800017964a7,Covid-Text-Q1,7,voq4,completed,100.0,Content: Text Only,How large is the largest intersection?,281,281,True,0,1000000000,2024-08-27T20:02:08.019Z,2024-08-27T20:05:16.381Z,188362,188362,Covid Symptoms
5997043dbbe84800017964a7,Covid-Text-Q1,7,voq5,completed,100.0,Content: Text Only,How many sets make up the largest intersection?,It is the empty intersection (no sets),It is the intersection of 2-3 sets,False,undefined,undefined,2024-08-27T20:02:08.019Z,2024-08-27T20:05:16.381Z,188362,188362,Covid Symptoms
5997043dbbe84800017964a7,Covid-Text-Q1,7,voq6,completed,100.0,Content: Text Only,How similar are the set sizes?,Diverging a bit,Diverging a lot,False,undefined,undefined,2024-08-27T20:02:08.019Z,2024-08-27T20:05:16.381Z,188362,188362,Covid Symptoms
5997043dbbe84800017964a7,Covid-Text-Q1,7,voq7,completed,100.0,Content: Text Only,Is the largest set present in the largest intersection?,Yes,Yes,True,undefined,undefined,2024-08-27T20:02:08.019Z,2024-08-27T20:05:16.381Z,188362,188362,Covid Symptoms
5997043dbbe84800017964a7,Covid-Text-Q1,7,voq8,completed,100.0,Content: Text Only,Is the all-set intersection (intersection having all the sets) present? ,No,Yes,False,undefined,undefined,2024-08-27T20:02:08.019Z,2024-08-27T20:05:16.381Z,188362,188362,Covid Symptoms
5997043dbbe84800017964a7,Covid-Text-Q2,8,voq1,completed,100.0,Content: Text Only,How confident are you in your answers?,2,undefined,undefined,undefined,undefined,2024-08-27T20:05:16.410Z,2024-08-27T20:05:27.413Z,11003,11003,Covid Symptoms
5997043dbbe84800017964a7,Covid-Text-Q2,8,voq2,completed,100.0,Content: Text Only,How well did you understand the information presented?,2,undefined,undefined,undefined,undefined,2024-08-27T20:05:16.410Z,2024-08-27T20:05:27.413Z,11003,11003,Covid Symptoms
5997043dbbe84800017964a7,Covid-Text-Q2,8,voq3,completed,100.0,Content: Text Only,How effective was the description of the data at conveying information?,3,undefined,undefined,undefined,undefined,2024-08-27T20:05:16.410Z,2024-08-27T20:05:27.413Z,11003,11003,Covid Symptoms
5997043dbbe84800017964a7,Covid-Text-Q3,9,voq1,completed,100.0,Content: Text Only,What are your insights and take-aways from the description of this data?,ifount it confusing at times,undefined,undefined,undefined,undefined,2024-08-27T20:05:27.432Z,2024-08-27T20:05:57.217Z,29785,29785,Covid Symptoms
5a893c8cf49c9a0001f3a221,Tennis-Text-Q1,13,voq1,completed,100.0,Content: Text Only,How many sets are shown in the description?,4,4,True,0,100,2024-08-28T22:24:17.990Z,2024-08-28T22:25:25.991Z,68001,68001,Tennis Grand Slam Winners
5a893c8cf49c9a0001f3a221,Tennis-Text-Q1,13,voq2,completed,100.0,Content: Text Only,What is the largest set?,Australian,Australian,True,undefined,undefined,2024-08-28T22:24:17.990Z,2024-08-28T22:25:25.991Z,68001,68001,Tennis Grand Slam Winners
5a893c8cf49c9a0001f3a221,Tennis-Text-Q1,13,voq3,completed,100.0,Content: Text Only,What is the largest intersection?,French Open,French Open,True,undefined,undefined,2024-08-28T22:24:17.990Z,2024-08-28T22:25:25.991Z,68001,68001,Tennis Grand Slam Winners
5a893c8cf49c9a0001f3a221,Tennis-Text-Q1,13,voq4,completed,100.0,Content: Text Only,How large is the largest intersection?,23,23,True,0,1000000000,2024-08-28T22:24:17.990Z,2024-08-28T22:25:25.991Z,68001,68001,Tennis Grand Slam Winners
5a893c8cf49c9a0001f3a221,Tennis-Text-Q1,13,voq5,completed,100.0,Content: Text Only,How many sets make up the largest intersection?,It is only of a single set,It is only of a single set,True,undefined,undefined,2024-08-28T22:24:17.990Z,2024-08-28T22:25:25.991Z,68001,68001,Tennis Grand Slam Winners
5a893c8cf49c9a0001f3a221,Tennis-Text-Q1,13,voq6,completed,100.0,Content: Text Only,How similar are the set sizes?,Diverging a lot,Roughly equal,False,undefined,undefined,2024-08-28T22:24:17.990Z,2024-08-28T22:25:25.991Z,68001,68001,Tennis Grand Slam Winners
5a893c8cf49c9a0001f3a221,Tennis-Text-Q1,13,voq7,completed,100.0,Content: Text Only,Is the largest set present in the largest intersection?,Yes,No,False,undefined,undefined,2024-08-28T22:24:17.990Z,2024-08-28T22:25:25.991Z,68001,68001,Tennis Grand Slam Winners
5a893c8cf49c9a0001f3a221,Tennis-Text-Q1,13,voq8,completed,100.0,Content: Text Only,Is the all-set intersection (intersection having all the sets) present? ,Yes,Yes,True,undefined,undefined,2024-08-28T22:24:17.990Z,2024-08-28T22:25:25.991Z,68001,68001,Tennis Grand Slam Winners
5a893c8cf49c9a0001f3a221,Tennis-Text-Q2,14,voq1,completed,100.0,Content: Text Only,How confident are you in your answers?,3,undefined,undefined,undefined,undefined,2024-08-28T22:25:26.010Z,2024-08-28T22:25:33.869Z,7859,7859,Tennis Grand Slam Winners
5a893c8cf49c9a0001f3a221,Tennis-Text-Q2,14,voq2,completed,100.0,Content: Text Only,How well did you understand the information presented?,3,undefined,undefined,undefined,undefined,2024-08-28T22:25:26.010Z,2024-08-28T22:25:33.869Z,7859,7859,Tennis Grand Slam Winners
5a893c8cf49c9a0001f3a221,Tennis-Text-Q2,14,voq3,completed,100.0,Content: Text Only,How effective was the description of the data at conveying information?,4,undefined,undefined,undefined,undefined,2024-08-28T22:25:26.010Z,2024-08-28T22:25:33.869Z,7859,7859,Tennis Grand Slam Winners
5a893c8cf49c9a0001f3a221,Tennis-Text-Q3,15,voq1,completed,100.0,Content: Text Only,What are your insights and take-aways from the description of this data?,This plot showed insights on tennis tournament winners and how many competitors have won the same amount of tournaments.,undefined,undefined,undefined,undefined,2024-08-28T22:25:33.887Z,2024-08-28T22:26:15.774Z,41887,41887,Tennis Grand Slam Winners
5aebc4ac75deca00016252ea,Organizations-Text-Q1,7,voq1,completed,100.0,Content: Text Only,How many sets are shown in the description?,18,8,True,0,100,2024-08-21T23:02:09.304Z,2024-08-21T23:07:12.432Z,303128,300331,International Organizations
5aebc4ac75deca00016252ea,Organizations-Text-Q1,7,voq2,completed,100.0,Content: Text Only,What is the largest set?,UPU,UPU,True,undefined,undefined,2024-08-21T23:02:09.304Z,2024-08-21T23:07:12.432Z,303128,300331,International Organizations
5aebc4ac75deca00016252ea,Organizations-Text-Q1,7,voq3,completed,100.0,Content: Text Only,What is the largest intersection?,"UNESCO,WHO,UN,UPU,Interpol","Interpol,UN,UNESCO,UPU,WHO",True,undefined,undefined,2024-08-21T23:02:09.304Z,2024-08-21T23:07:12.432Z,303128,300331,International Organizations
5aebc4ac75deca00016252ea,Organizations-Text-Q1,7,voq4,completed,100.0,Content: Text Only,How large is the largest intersection?,225,117,False,0,1000000000,2024-08-21T23:02:09.304Z,2024-08-21T23:07:12.432Z,303128,300331,International Organizations
5aebc4ac75deca00016252ea,Organizations-Text-Q1,7,voq5,completed,100.0,Content: Text Only,How many sets make up the largest intersection?,It is the intersection of many sets,It is the intersection of many sets,True,undefined,undefined,2024-08-21T23:02:09.304Z,2024-08-21T23:07:12.432Z,303128,300331,International Organizations
5aebc4ac75deca00016252ea,Organizations-Text-Q1,7,voq6,completed,100.0,Content: Text Only,How similar are the set sizes?,Diverging a lot,Diverging a lot,True,undefined,undefined,2024-08-21T23:02:09.304Z,2024-08-21T23:07:12.432Z,303128,300331,International Organizations
5aebc4ac75deca00016252ea,Organizations-Text-Q1,7,voq7,completed,100.0,Content: Text Only,Is the largest set present in the largest intersection?,Yes,Yes,True,undefined,undefined,2024-08-21T23:02:09.304Z,2024-08-21T23:07:12.432Z,303128,300331,International Organizations
5aebc4ac75deca00016252ea,Organizations-Text-Q1,7,voq8,completed,100.0,Content: Text Only,Is the all-set intersection (intersection having all the sets) present? ,Yes,No,False,undefined,undefined,2024-08-21T23:02:09.304Z,2024-08-21T23:07:12.432Z,303128,300331,International Organizations
5aebc4ac75deca00016252ea,Organizations-Text-Q2,8,voq1,completed,100.0,Content: Text Only,How confident are you in your answers?,5,undefined,undefined,undefined,undefined,2024-08-21T23:07:12.477Z,2024-08-21T23:07:23.096Z,10619,10619,International Organizations
5aebc4ac75deca00016252ea,Organizations-Text-Q2,8,voq2,completed,100.0,Content: Text Only,How well did you understand the information presented?,5,undefined,undefined,undefined,undefined,2024-08-21T23:07:12.477Z,2024-08-21T23:07:23.096Z,10619,10619,International Organizations
5aebc4ac75deca00016252ea,Organizations-Text-Q2,8,voq3,completed,100.0,Content: Text Only,How effective was the description of the data at conveying information?,5,undefined,undefined,undefined,undefined,2024-08-21T23:07:12.477Z,2024-08-21T23:07:23.096Z,10619,10619,International Organizations
5aebc4ac75deca00016252ea,Organizations-Text-Q3,9,voq1,completed,100.0,Content: Text Only,What are your insights and take-aways from the description of this data?,To visualise UpSet Data,undefined,undefined,undefined,undefined,2024-08-21T23:07:23.108Z,2024-08-21T23:08:32.536Z,69428,50513,International Organizations
5ba855d47c0ebe0001272f70,Tennis-Text-Q1,10,voq1,completed,100.0,Content: Text Only,How many sets are shown in the description?,4,4,True,0,100,2024-08-21T21:46:36.741Z,2024-08-21T21:48:20.693Z,103952,103952,Tennis Grand Slam Winners
5ba855d47c0ebe0001272f70,Tennis-Text-Q1,10,voq2,completed,100.0,Content: Text Only,What is the largest set?,Australian,Australian,True,undefined,undefined,2024-08-21T21:46:36.741Z,2024-08-21T21:48:20.693Z,103952,103952,Tennis Grand Slam Winners
5ba855d47c0ebe0001272f70,Tennis-Text-Q1,10,voq3,completed,100.0,Content: Text Only,What is the largest intersection?,French Open,French Open,True,undefined,undefined,2024-08-21T21:46:36.741Z,2024-08-21T21:48:20.693Z,103952,103952,Tennis Grand Slam Winners
5ba855d47c0ebe0001272f70,Tennis-Text-Q1,10,voq4,completed,100.0,Content: Text Only,How large is the largest intersection?,23,23,True,0,1000000000,2024-08-21T21:46:36.741Z,2024-08-21T21:48:20.693Z,103952,103952,Tennis Grand Slam Winners
5ba855d47c0ebe0001272f70,Tennis-Text-Q1,10,voq5,completed,100.0,Content: Text Only,How many sets make up the largest intersection?,It is only of a single set,It is only of a single set,True,undefined,undefined,2024-08-21T21:46:36.741Z,2024-08-21T21:48:20.693Z,103952,103952,Tennis Grand Slam Winners
5ba855d47c0ebe0001272f70,Tennis-Text-Q1,10,voq6,completed,100.0,Content: Text Only,How similar are the set sizes?,Roughly equal,Roughly equal,True,undefined,undefined,2024-08-21T21:46:36.741Z,2024-08-21T21:48:20.693Z,103952,103952,Tennis Grand Slam Winners
5ba855d47c0ebe0001272f70,Tennis-Text-Q1,10,voq7,completed,100.0,Content: Text Only,Is the largest set present in the largest intersection?,Yes,No,False,undefined,undefined,2024-08-21T21:46:36.741Z,2024-08-21T21:48:20.693Z,103952,103952,Tennis Grand Slam Winners
5ba855d47c0ebe0001272f70,Tennis-Text-Q1,10,voq8,completed,100.0,Content: Text Only,Is the all-set intersection (intersection having all the sets) present? ,Yes,Yes,True,undefined,undefined,2024-08-21T21:46:36.741Z,2024-08-21T21:48:20.693Z,103952,103952,Tennis Grand Slam Winners
5ba855d47c0ebe0001272f70,Tennis-Text-Q2,11,voq1,completed,100.0,Content: Text Only,How confident are you in your answers?,5,undefined,undefined,undefined,undefined,2024-08-21T21:48:20.746Z,2024-08-21T21:48:27.324Z,6578,6578,Tennis Grand Slam Winners
5ba855d47c0ebe0001272f70,Tennis-Text-Q2,11,voq2,completed,100.0,Content: Text Only,How well did you understand the information presented?,5,undefined,undefined,undefined,undefined,2024-08-21T21:48:20.746Z,2024-08-21T21:48:27.324Z,6578,6578,Tennis Grand Slam Winners
5ba855d47c0ebe0001272f70,Tennis-Text-Q2,11,voq3,completed,100.0,Content: Text Only,How effective was the description of the data at conveying information?,5,undefined,undefined,undefined,undefined,2024-08-21T21:48:20.746Z,2024-08-21T21:48:27.324Z,6578,6578,Tennis Grand Slam Winners
5ba855d47c0ebe0001272f70,Tennis-Text-Q3,12,voq1,completed,100.0,Content: Text Only,What are your insights and take-aways from the description of this data?,Australian Open is the most commonly won grand slam. Only 9 times have all grand slams been won by a player.,undefined,undefined,undefined,undefined,2024-08-21T21:48:27.352Z,2024-08-21T21:53:54.958Z,327606,327606,Tennis Grand Slam Winners
5bf60707345b9b00016f0e97,Covid-Text-Q1,13,voq1,completed,100.0,Content: Text Only,How many sets are shown in the description?,6,6,True,0,100,2024-08-28T22:25:12.830Z,2024-08-28T22:26:51.568Z,98738,98738,Covid Symptoms
5bf60707345b9b00016f0e97,Covid-Text-Q1,13,voq2,completed,100.0,Content: Text Only,What is the largest set?,Fatigue,Fatigue,True,undefined,undefined,2024-08-28T22:25:12.830Z,2024-08-28T22:26:51.568Z,98738,98738,Covid Symptoms
5bf60707345b9b00016f0e97,Covid-Text-Q1,13,voq3,completed,100.0,Content: Text Only,What is the largest intersection?,"Anosmia,Fatigue","Anosmia,Fatigue",True,undefined,undefined,2024-08-28T22:25:12.830Z,2024-08-28T22:26:51.568Z,98738,98738,Covid Symptoms
5bf60707345b9b00016f0e97,Covid-Text-Q1,13,voq4,completed,100.0,Content: Text Only,How large is the largest intersection?,281,281,True,0,1000000000,2024-08-28T22:25:12.830Z,2024-08-28T22:26:51.568Z,98738,98738,Covid Symptoms
5bf60707345b9b00016f0e97,Covid-Text-Q1,13,voq5,completed,100.0,Content: Text Only,How many sets make up the largest intersection?,It is the intersection of 2-3 sets,It is the intersection of 2-3 sets,True,undefined,undefined,2024-08-28T22:25:12.830Z,2024-08-28T22:26:51.568Z,98738,98738,Covid Symptoms
5bf60707345b9b00016f0e97,Covid-Text-Q1,13,voq6,completed,100.0,Content: Text Only,How similar are the set sizes?,Diverging a lot,Diverging a lot,True,undefined,undefined,2024-08-28T22:25:12.830Z,2024-08-28T22:26:51.568Z,98738,98738,Covid Symptoms
